Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test	Accuracy_test
1	333.18078949999995	802.2692547803745	0.8159386973180076	0.7997246022031823	0.7464788732394366	0.6973684210526315	0.7469135802469136
2	513.1183093	681.3800730784424	0.8537931034482759	0.833078335373317	0.7971014492753623	0.7236842105263158	0.7839506172839507
3	691.0070286	628.1671963043045	0.881072796934866	0.8656670746634028	0.7654320987654321	0.8157894736842105	0.7962962962962963
4	858.2849014999999	573.956737345783	0.8881226053639847	0.8826499388004897	0.71875	0.9078947368421053	0.7901234567901234
5	1028.4792178999999	511.5148199184332	0.8930268199233717	0.8942778457772338	0.7156862745098039	0.9605263157894737	0.8024691358024691
6	1194.8265992	462.3680529340636	0.9011494252873563	0.8930538555691554	0.7948717948717948	0.8157894736842105	0.8148148148148148
7	1362.6366415	423.6230541236	0.9025287356321838	0.8965728274173806	0.7419354838709677	0.9078947368421053	0.808641975308642
8	1529.6442227	389.27096070023254	0.9077394636015326	0.9002447980416157	0.7951807228915663	0.868421052631579	0.8333333333333334
9	1697.5022403	359.35771065235895	0.9103448275862068	0.902233782129743	0.7156862745098039	0.9605263157894737	0.8024691358024691
10	1868.1345188	322.87876805376436	0.9138697318007662	0.8997858017135862	0.7922077922077922	0.8026315789473685	0.808641975308642
11	2035.545385	310.0525742036989	0.9137164750957854	0.9034577723378213	0.7901234567901234	0.8421052631578947	0.8209876543209876
12	2202.2193251	301.3659529622382	0.915095785440613	0.9040697674418605	0.7901234567901234	0.8421052631578947	0.8209876543209876
13	2372.9094004	289.5219168364347	0.9144827586206897	0.9039167686658507	0.8072289156626506	0.881578947368421	0.845679012345679
14	2551.4261353	283.05887080459433	0.9154022988505747	0.9054467564259486	0.8	0.8947368421052632	0.845679012345679
15	2729.2712872	272.0064745388263	0.9146360153256705	0.9045287637698899	0.8072289156626506	0.881578947368421	0.845679012345679
16	3071.4467688	261.25842576587456	0.9138697318007664	0.9065177478580172	0.7727272727272727	0.8947368421052632	0.8271604938271605
17	3585.5077764	255.81160564450147	0.9140229885057471	0.908047735618115	0.7608695652173914	0.9210526315789473	0.8271604938271605
18	4115.3622979	250.43562982101867	0.9115708812260537	0.9046817625458996	0.7840909090909091	0.9078947368421053	0.8395061728395061
19	4628.4643071	240.58560326398492	0.9101915708812262	0.905140758873929	0.7692307692307693	0.9210526315789473	0.8333333333333334
20	5150.4714713	218.32353622273604	0.9098850574712644	0.9033047735618115	0.7816091954022989	0.8947368421052632	0.8333333333333334
21	5679.2879494	214.76893676599775	0.9089655172413792	0.9039167686658507	0.7931034482758621	0.9078947368421053	0.845679012345679
22	6180.2946327	208.6607688164013	0.9083524904214559	0.9011627906976745	0.7976190476190477	0.881578947368421	0.8395061728395061
23	6713.2098832	208.28653183638926	0.908199233716475	0.9005507955936352	0.8072289156626506	0.881578947368421	0.845679012345679
24	7245.5597501	199.20073107491316	0.9074329501915709	0.894889840881273	0.7866666666666666	0.7763157894736842	0.7962962962962963
25	7747.5698518	201.99649624182757	0.9069731800766283	0.8996328029375765	0.7582417582417582	0.9078947368421053	0.8209876543209876
26	8277.543169100001	196.25080051511884	0.9072796934865901	0.8974908200734394	0.7951807228915663	0.868421052631579	0.8333333333333334
27	8799.786754600002	193.63389094289641	0.9069731800766283	0.9000917992656058	0.7816091954022989	0.8947368421052632	0.8333333333333334
28	9305.7197827	190.60777067282538	0.9075862068965517	0.8996328029375765	0.7816091954022989	0.8947368421052632	0.8333333333333334
29	9836.3131654	188.44538541769066	0.9075862068965517	0.899326805385557	0.7976190476190477	0.881578947368421	0.8395061728395061
30	10345.541960400002	176.25257150977177	0.9074329501915708	0.9003977968176254	0.7727272727272727	0.8947368421052632	0.8271604938271605
31	10864.119416500002	173.25230611543702	0.9068199233716475	0.8987148102815177	0.7976190476190477	0.881578947368421	0.8395061728395061
32	11399.2986199	174.08895625963942	0.9068199233716476	0.8987148102815177	0.7816091954022989	0.8947368421052632	0.8333333333333334
33	11897.286298300001	168.49450734789252	0.9066666666666667	0.8990208078335373	0.7816091954022989	0.8947368421052632	0.8333333333333334
34	12429.6923616	167.1746952389335	0.9069731800766283	0.8985618115055081	0.7816091954022989	0.8947368421052632	0.8333333333333334
35	12961.065591300001	166.23052959080587	0.9051340996168582	0.9000917992656059	0.7640449438202247	0.8947368421052632	0.8209876543209876
36	13461.415168900001	164.99957784501362	0.9066666666666666	0.89703182374541	0.7816091954022989	0.8947368421052632	0.8333333333333334
37	13994.170347300002	162.2638369557901	0.9066666666666666	0.89703182374541	0.7816091954022989	0.8947368421052632	0.8333333333333334
38	14520.040578	159.2069311972973	0.9065134099616858	0.8965728274173806	0.7816091954022989	0.8947368421052632	0.8333333333333334
39	15019.500124400001	159.9831033428086	0.9059003831417625	0.8974908200734394	0.7816091954022989	0.8947368421052632	0.8333333333333334
40	15546.980963900001	152.02002467531497	0.9046743295019156	0.8981028151774786	0.7840909090909091	0.9078947368421053	0.8395061728395061
41	16071.9506388	151.78572019858586	0.9055938697318008	0.8967258261933905	0.7816091954022989	0.8947368421052632	0.8333333333333334
42	16571.499614599998	151.09394283473705	0.9051340996168583	0.8973378212974297	0.7816091954022989	0.8947368421052632	0.8333333333333334
43	17096.8585511	150.73377536792145	0.904367816091954	0.8977968176254589	0.7692307692307693	0.9210526315789473	0.8333333333333334
44	17620.7019686	150.348866029614	0.9048275862068966	0.8974908200734394	0.7816091954022989	0.8947368421052632	0.8333333333333334
45	18118.169932099998	149.52595367735285	0.9052873563218391	0.8976438188494492	0.7816091954022989	0.8947368421052632	0.8333333333333334
46	18642.3942774	148.83550705155005	0.9051340996168582	0.8974908200734394	0.7816091954022989	0.8947368421052632	0.8333333333333334
47	19167.1304431	147.8404725508458	0.9042145593869733	0.8988678090575275	0.7816091954022989	0.8947368421052632	0.8333333333333334
48	19668.365109899998	145.73195512604207	0.9049808429118773	0.8977968176254589	0.7790697674418605	0.881578947368421	0.8271604938271605
49	20195.762243499998	146.50094060391564	0.9043678160919539	0.8984088127294982	0.7816091954022989	0.8947368421052632	0.8333333333333334
50	20718.8112057	142.8469413990398	0.9043678160919539	0.8991738066095472	0.7816091954022989	0.8947368421052632	0.8333333333333334
51	21222.4968718	142.7362959910305	0.9045210727969348	0.8990208078335373	0.7816091954022989	0.8947368421052632	0.8333333333333334
52	21748.6828981	142.59112212738876	0.9043678160919539	0.8990208078335373	0.7727272727272727	0.8947368421052632	0.8271604938271605
53	22267.9659656	142.0722096113658	0.9042145593869733	0.898561811505508	0.7816091954022989	0.8947368421052632	0.8333333333333334
54	22765.671780599998	142.1558579718088	0.9042145593869733	0.8987148102815177	0.7816091954022989	0.8947368421052632	0.8333333333333334
55	23292.6047444	141.36749132370403	0.9039080459770115	0.8984088127294982	0.7640449438202247	0.8947368421052632	0.8209876543209876
56	23814.7136474	140.9993160059363	0.9040613026819924	0.8987148102815177	0.7640449438202247	0.8947368421052632	0.8209876543209876
57	24313.2671444	140.86821324492882	0.9042145593869733	0.8981028151774786	0.7816091954022989	0.8947368421052632	0.8333333333333334
58	24838.4080959	138.70641801844545	0.9042145593869733	0.8976438188494492	0.7727272727272727	0.8947368421052632	0.8271604938271605
59	25075.6676728	139.78362903506297	0.9043678160919539	0.8982558139534883	0.7640449438202247	0.8947368421052632	0.8209876543209876
60	25245.740514499998	138.7949129737326	0.9039080459770115	0.8981028151774786	0.7640449438202247	0.8947368421052632	0.8209876543209876
61	25415.545683199998	138.58433470591967	0.9039080459770115	0.8981028151774786	0.7727272727272727	0.8947368421052632	0.8271604938271605
62	25586.171800699998	138.42850081143547	0.9039080459770115	0.8981028151774786	0.7727272727272727	0.8947368421052632	0.8271604938271605
63	25756.8771128	138.0959565738517	0.9037547892720306	0.8982558139534884	0.7666666666666667	0.9078947368421053	0.8271604938271605
64	25926.058980399997	137.99907322475246	0.9037547892720306	0.8979498164014688	0.7727272727272727	0.8947368421052632	0.8271604938271605
65	26096.3527928	137.8472436262623	0.903448275862069	0.8979498164014688	0.7640449438202247	0.8947368421052632	0.8209876543209876
66	26266.2466074	137.5665755586815	0.9031417624521072	0.8979498164014688	0.7727272727272727	0.8947368421052632	0.8271604938271605
67	26436.7869236	137.86802922623406	0.9031417624521074	0.8979498164014688	0.7640449438202247	0.8947368421052632	0.8209876543209876
68	26606.6192141	137.35097776081784	0.9029885057471265	0.8979498164014688	0.7727272727272727	0.8947368421052632	0.8271604938271605
69	26776.442154	137.54391807291927	0.9032950191570881	0.8981028151774786	0.7640449438202247	0.8947368421052632	0.8209876543209876
70	26946.2770145	136.55837516443455	0.9029885057471265	0.8979498164014688	0.7640449438202247	0.8947368421052632	0.8209876543209876
71	27115.8784132	136.479276370815	0.9031417624521073	0.8981028151774786	0.7640449438202247	0.8947368421052632	0.8209876543209876
72	27285.3875437	136.35962052833622	0.9029885057471265	0.8981028151774786	0.7640449438202247	0.8947368421052632	0.8209876543209876
73	27456.6812241	136.4148836546873	0.9031417624521073	0.8976438188494491	0.7640449438202247	0.8947368421052632	0.8209876543209876
74	27625.342474499997	136.24111557763717	0.9031417624521073	0.8976438188494491	0.7640449438202247	0.8947368421052632	0.8209876543209876
75	27795.2519584	136.22175537674514	0.9031417624521073	0.8976438188494491	0.7640449438202247	0.8947368421052632	0.8209876543209876
76	27964.558637	136.23054652558642	0.9029885057471265	0.8976438188494491	0.7640449438202247	0.8947368421052632	0.8209876543209876
77	28133.705579999998	136.03529385225	0.9029885057471265	0.8976438188494491	0.7640449438202247	0.8947368421052632	0.8209876543209876
78	28303.6441069	135.96423952159955	0.9028352490421456	0.8976438188494491	0.7640449438202247	0.8947368421052632	0.8209876543209876
79	28474.1232388	135.9308375707601	0.9026819923371647	0.8974908200734395	0.7640449438202247	0.8947368421052632	0.8209876543209876
80	28644.4591017	135.52272229905145	0.9026819923371647	0.8976438188494492	0.7640449438202247	0.8947368421052632	0.8209876543209876
81	28814.990019099998	135.52339387322183	0.9026819923371647	0.8976438188494491	0.7640449438202247	0.8947368421052632	0.8209876543209876
82	28985.2474157	135.42991602525706	0.9026819923371647	0.8974908200734394	0.7640449438202247	0.8947368421052632	0.8209876543209876
83	29155.288893999998	135.45358455537428	0.9026819923371647	0.8974908200734394	0.7640449438202247	0.8947368421052632	0.8209876543209876
84	29325.400387899997	135.29113076429928	0.9026819923371647	0.8973378212974296	0.7640449438202247	0.8947368421052632	0.8209876543209876
85	29494.887055799998	135.26398844961363	0.9025287356321838	0.8974908200734394	0.7640449438202247	0.8947368421052632	0.8209876543209876
86	29664.7465835	135.34946029879143	0.9025287356321838	0.8973378212974297	0.7640449438202247	0.8947368421052632	0.8209876543209876
87	29833.9998651	135.24218007049433	0.9025287356321838	0.8973378212974297	0.7640449438202247	0.8947368421052632	0.8209876543209876
88	30004.7369773	135.17120347824823	0.9026819923371647	0.8974908200734394	0.7640449438202247	0.8947368421052632	0.8209876543209876
89	30174.7699903	135.1060836980115	0.9026819923371647	0.8974908200734394	0.7613636363636364	0.881578947368421	0.8148148148148148
90	30344.6236174	134.95133152740652	0.9026819923371647	0.8976438188494492	0.7613636363636364	0.881578947368421	0.8148148148148148
91	30514.7834712	134.90016426272734	0.9026819923371647	0.8974908200734394	0.7613636363636364	0.881578947368421	0.8148148148148148
92	30684.4756303	134.87088016624193	0.9026819923371647	0.8974908200734394	0.7613636363636364	0.881578947368421	0.8148148148148148
93	30854.2400761	134.85383402406956	0.9026819923371647	0.8976438188494492	0.7613636363636364	0.881578947368421	0.8148148148148148
