,auc,accuracy,precision,recall,f1
knn,0.7177019817073171,0.6635802469135802,0.643979057591623,0.75,0.6929577464788733
rf,0.8661966463414634,0.7901234567901234,0.7962962962962963,0.7865853658536586,0.7914110429447854
svm,0.7599657012195122,0.7067901234567902,0.7090909090909091,0.7134146341463414,0.7112462006079028
lr,0.7566692073170731,0.7037037037037037,0.6847826086956522,0.7682926829268293,0.7241379310344829
gb,0.8460365853658536,0.7777777777777778,0.7705882352941177,0.7987804878048781,0.784431137724551
ada,0.8299352134146342,0.7314814814814815,0.7103825136612022,0.7926829268292683,0.7492795389048991
et,0.8510099085365854,0.7901234567901234,0.8,0.7804878048780488,0.7901234567901235
nb,0.5094512195121951,0.5154320987654321,0.5109717868338558,0.9939024390243902,0.6749482401656316
dummy,0.5031249999999999,0.5030864197530864,0.5093167701863354,0.5,0.5046153846153847
