classifier,auc_mean,auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean
LogisticRegression,0.8408538742521859,0.015524284810696322,0.7768661850705195,0.7754486652847645,0.7890243902439024,0.7817045441564769
RandomForest,0.9014360187528763,0.009508825925189526,0.8312636165577342,0.8309004649837843,0.8378048780487806,0.8342950962906626
SVC,0.8916618490182543,0.012647764790277485,0.8275713794289647,0.8451132753681703,0.8085365853658537,0.8262954544661094
