Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test	Accuracy_test
1	19.782295399927534	855.468	0.7849808429118774	0.7894736842105264	0.6739130434782609	0.8157894736842105	0.7283950617283951
2	41.22411939990707	672.5338	0.8666666666666667	0.8554161566707466	0.7948717948717948	0.8157894736842105	0.8148148148148148
3	61.906239099917	582.099	0.8830651340996168	0.8733170134638923	0.7590361445783133	0.8289473684210527	0.7962962962962963
4	83.07916669989936	523.4093	0.8910344827586206	0.8829559363525091	0.6979166666666666	0.881578947368421	0.7654320987654321
5	104.65850469993893	473.44348	0.8936398467432951	0.8893818849449204	0.7070707070707071	0.9210526315789473	0.7839506172839507
6	126.6845786999911	434.63168	0.9016091954022989	0.8935128518971848	0.7764705882352941	0.868421052631579	0.8209876543209876
7	148.35468849993777	405.69034	0.9042145593869733	0.8951958384332926	0.7764705882352941	0.868421052631579	0.8209876543209876
8	170.69421489990782	376.14456	0.9077394636015326	0.8935128518971849	0.7682926829268293	0.8289473684210527	0.8024691358024691
9	194.72770779998973	350.01437	0.9100383141762453	0.8976438188494492	0.7216494845360825	0.9210526315789473	0.7962962962962963
10	220.47962929995265	309.95575	0.9111111111111111	0.899173806609547	0.8076923076923077	0.8289473684210527	0.8271604938271605
11	246.63919519993942	295.64194	0.9124904214559386	0.9031517747858018	0.8	0.8947368421052632	0.845679012345679
12	272.9536524999421	282.38916	0.913256704980843	0.8990208078335373	0.8072289156626506	0.881578947368421	0.845679012345679
13	299.81228099996224	274.3856	0.9141762452107279	0.9043757649938801	0.75	0.9078947368421053	0.8148148148148148
14	325.8147924999939	256.3757	0.9109578544061302	0.9055997552019585	0.7931034482758621	0.9078947368421053	0.845679012345679
15	350.4097213000059	248.96696	0.911264367816092	0.9037637698898409	0.7816091954022989	0.8947368421052632	0.8333333333333334
16	374.79194299993105	238.67348	0.9109578544061302	0.9016217870257037	0.7666666666666667	0.9078947368421053	0.8271604938271605
17	398.77493309997953	229.13426	0.910191570881226	0.8991738066095472	0.8072289156626506	0.881578947368421	0.845679012345679
18	425.8907089999411	217.67029	0.9097318007662835	0.9008567931456548	0.7340425531914894	0.9078947368421053	0.8024691358024691
19	453.3055645999266	208.90811	0.9094252873563218	0.9011627906976745	0.7640449438202247	0.8947368421052632	0.8209876543209876
20	480.6957023999421	193.07408	0.909272030651341	0.8996328029375765	0.7727272727272727	0.8947368421052632	0.8271604938271605
21	507.704953199951	188.6892	0.9086590038314176	0.8974908200734395	0.7790697674418605	0.881578947368421	0.8271604938271605
22	534.1493041999638	182.36412	0.9085057471264368	0.8970318237454101	0.7790697674418605	0.881578947368421	0.8271604938271605
23	560.8911231999518	179.05574	0.9074329501915709	0.89718482252142	0.7976190476190477	0.881578947368421	0.8395061728395061
24	587.4790970999748	174.47865	0.9060536398467434	0.8953488372093024	0.7901234567901234	0.8421052631578947	0.8209876543209876
25	613.877511599916	172.36307	0.9062068965517242	0.8981028151774786	0.7555555555555555	0.8947368421052632	0.8148148148148148
26	640.6704198999796	167.54585	0.90544061302682	0.8962668298653611	0.7926829268292683	0.8552631578947368	0.8271604938271605
27	667.6042594999308	163.87961	0.90544061302682	0.8988678090575275	0.7906976744186046	0.8947368421052632	0.8395061728395061
28	694.6622828999534	160.14478	0.9048275862068966	0.8984088127294981	0.7816091954022989	0.8947368421052632	0.8333333333333334
29	721.3238004999002	157.55383	0.9055938697318007	0.8965728274173806	0.7701149425287356	0.881578947368421	0.8209876543209876
30	747.7522726999596	148.71481	0.9046743295019157	0.8973378212974297	0.7790697674418605	0.881578947368421	0.8271604938271605
31	777.3535944999894	145.58945	0.9031417624521073	0.8944308445532436	0.8	0.8421052631578947	0.8271604938271605
32	803.5108044999652	146.3758	0.902528735632184	0.8965728274173806	0.7790697674418605	0.881578947368421	0.8271604938271605
